"a","s","l"
"AbdomImaging","Abdom Imaging","Abdominal Imaging"
"AbhdsencknaturfGes","Abh d. senck naturf Ges.","Abhandlungen der Senckenbergischen naturforschenden Gesellschaft"
"AcadEmergMed","Acad. Emerg. Med.","Academic Emergency Medicine"
"AcadMed","Acad. Med.","Academic Medicine"
"AcademicPsychiatry","Academic Psychiatry","Academic Psychiatry"
"AccidAnalPrev.","Accid Anal. Prev.","Accident Analysis and Prevention"
"AccChemRes","Acc Chem. Res.","Accounts of Chemical Research"
"ACPJClub","ACP J. Club","ACP Journal Club"
"ActaAdriat","Acta Adriat.","ACTA Adriatica"
"ActaAgricScandA","Acta Agric. Scand. A","Acta Agriculturae Scandinavica Section A, Animal Science"
"ActaAgricScandB","Acta Agric. Scand. B","Acta Agriculturae Scandinavica Section B, Soil and Plant Science"
"ActaAgronomicaHung","Acta Agronomica. Hung.","Acta Agronomica Hungarica"
"ActaAnaesthesiolBelg","Acta Anaesthesiol. Belg.","ACTA Anaesthesiologica Belgica"
"ActaAnaesthesiolScand","Acta Anaesthesiol. Scand.","ACTA Anaesthesiologica Scandinavica"
"ActaAnaesthesiolScandSuppl","Acta Anaesthesiol. Scand. Suppl.","ACTA Anaesthesiologica Scandinavica Supplementum"
"ActaAnaesthesiolSin","Acta Anaesthesiol. Sin.","Acta Anaesthesiologica Sinica"
"ActaAnatBasel","Acta Anat.","ACTA Anatomica"
"ActaBiomedAteneoParmense","Acta Biomed. Ateneo. Parmense.","ACTA Bio-Medica de l Ateneo Parmense"
"ActaBiochimBiophysHung","Acta Biochim. Biophys. Hung.","ACTA Biochimica et Biophysica Hungarica"
"ActaBiochimPol","Acta Biochim. Pol.","ACTA Biochimica Polonica"
"ActaBiolHung","Acta Biol. Hung.","ACTA Biologica Hungarica"
"ActaBiotechnol","Acta Biotechnol.","Acta Biotechnologica"
"acta","Acta Biotheor.","Acta Biotheoretica"
"ActaBiotheor","Acta Biotheor.","ACTA Biotheoretica"
"ActaBotCroat","Acta Bot. Croat.","Acta Botanica Croatica"
"ActaBotanicaNeerlandica","Acta Botanica Neerlandica","Acta Botanica Neerlandica"
"ActaBotSin","Acta Bot. Sin.","Acta Botanica Sinica"
"ActaCardiol","Acta Cardiol.","ACTA Cardiologica"
"ActaCardiolSuppl","Acta Cardiol. Suppl.","ACTA Cardiologica Supplementum"
"ActaChemScand","Acta Chem. Scand.","ACTA Chemica Scandinavica"
"ActaChirOrthopTraumatolCech","Acta Chir. Orthop. Traumatol. Cech.","ACTA Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaka"
"ActaChirPlast","Acta Chir. Plast.","ACTA Chirurgiae Plasticae"
"ActaChirBelg","Acta Chir. Belg.","ACTA Chirurgica Belgica"
"ActaChirHung","Acta Chir. Hung.","ACTA Chirurgica Hungarica"
"ActaChirIugosl","Acta Chir. Iugosl.","ACTA Chirurgica Iugoslavica"
"ActaCientVenez","Acta Cient. Venez.","ACTA Cientifica Venezolana"
"ActaClinBelg","Acta Clin. Belg.","ACTA Clinica Belgica"
"ActaClinBelgSuppl","Acta Clin. Belg. Suppl.","ACTA Clinica Belgica. Supplementum"
"ActaCrystallogrA","Acta Crystallogr. A","ACTA Crystallographica. Section A: Foundations of Crystallography"
"ActaCrystallogrB","Acta Crystallogr. B","ACTA Crystallographica. Section B: Structural Science"
"ActaCrystallogrC","Acta Crystallogr. C","ACTA Crystallographica. Section C: Crystal Structure Communications"
"ActaCrystallogrD","Acta Crystallogr. D","ACTA Crystallographica. Section D: Biological Crystallography"
"ActaCytol","Acta Cytol.","ACTA Cytologica"
"ActaDermVenereolOslo","Acta Derm. Venereol.","ACTA Dermato-Venereologica"
"ActaDermVenereolSupplStockh","Acta Derm. Venereol. Suppl.","ACTA Dermato-Venereologica. Supplementum"
"ActaDiabetol","Acta Diabetol.","ACTA Diabetologica"
"ActaEcol","Acta Ecol.","ACTA Ecologica"
"ActaEcolSin","ACTA Ecol. Sin.","ACTA Ecologica Sinica"
